model,arch,language,machine,n_items,acc_counterbalanced,acc_forward_only,acc_per_BR_class_I,acc_per_BR_class_II,acc_per_BR_class_III,acc_per_polarity_pos,acc_per_polarity_neg,runtime_seconds,seed,v2_benchmark_path,tokenizer_collision_n_items
Swallow-13B-Instruct,decoder,EN,A,48,0.6041666666666666,0.5416666666666666,0.6666666666666666,0.5416666666666666,,0.5625,0.6458333333333334,36.220333099365234,114,benchmark/items_EN/v2.jsonl,
Qwen3-14B-Base,decoder,EN,A,48,1.0,1.0,1.0,1.0,,1.0,1.0,39.657692193984985,114,benchmark/items_EN/v2.jsonl,
Qwen3-14B-Base,decoder,ZH,A,48,1.0,1.0,1.0,1.0,,1.0,1.0,37.852822065353394,114,benchmark/items_ZH/v2.jsonl,
EXAONE-3.5-7.8B-Instruct,decoder,JA,B,48,0.9583333333333334,1.0,0.9791666666666666,0.9375,,0.9791666666666666,0.9375,27.392317533493042,114,benchmark/items_JA/v2.jsonl,
EXAONE-3.5-7.8B-Instruct,decoder,KO,B,48,0.9791666666666666,0.9791666666666666,1.0,0.9583333333333334,,1.0,0.9583333333333334,28.53566813468933,114,benchmark/items_KO/v2.jsonl,
Qwen3-14B-Instruct,decoder,JA,B,48,0.5104166666666666,0.5,0.5,0.5208333333333334,,0.5,0.5208333333333334,48.535237312316895,114,benchmark/items_JA/v2.jsonl,
Qwen3-14B-Instruct,decoder,KO,B,48,0.5,0.5,0.5,0.5,,0.5,0.5,41.622170209884644,114,benchmark/items_KO/v2.jsonl,
Qwen3-14B-Instruct,decoder,EN,A,48,0.5,0.5,0.5,0.5,,0.5,0.5,36.553961515426636,114,benchmark/items_EN/v2.jsonl,
EXAONE-3.5-7.8B-Instruct,decoder,EN,A,48,0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,,0.9166666666666666,1.0,24.852542400360107,114,benchmark/items_EN/v2.jsonl,
EXAONE-3.5-7.8B-Instruct,decoder,ZH,A,48,0.9375,0.9583333333333334,0.9166666666666666,0.9583333333333334,,0.8958333333333334,0.9791666666666666,21.99852204322815,114,benchmark/items_ZH/v2.jsonl,
Qwen3-14B-Instruct,decoder,ZH,A,48,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.625,,0.6041666666666666,0.6041666666666666,34.47531294822693,114,benchmark/items_ZH/v2.jsonl,
